city,State,Revenue,Class,Month
Pittsburgh,PA,106.2,Yoga 201,1
Philadelphia,PA,387.51,Yoga 201,1
Albany,NY,203.59,Yoga 101,1
Newark,NJ,498.66,Zumba,1
York,PA,437.22,Insanity,1
Brooklyn,NY,376.26,Zumba,1
New York City,NY,463.63,Insanity,1
New York City,NY,335.91,Yoga 201,1
New York City,NY,494.59,Yoga 101,1
Pittsburgh,PA,253.46,Yoga 201,1
Albany,NY,463.87,Zumba,1
Mount Vernon,NY,496.87,Zumba,1
Rochester,NY,284.6,Spinning,1
New York City,NY,366.47,Spinning,1
Valley Forge,PA,166.24,PiYo,1
Erie,PA,193.51,Spinning,1
Philadelphia,PA,332.18,Zumba,1
Pittsburgh,PA,290.84,Yoga 201,1
White Plains,NY,332.52,Spinning,1
Brooklyn,NY,323.48,Yoga 101,1
New York City,NY,473.17,Zumba,1
New York City,NY,221.91,Yoga 101,1
New Brunswick,NJ,146.87,PiYo,1
New York City,NY,283.13,PiYo,1
Jamaica,NY,270.77,Spinning,1
Philadelphia,PA,404.69,Yoga 201,1
Harrisburg,PA,275.63,Insanity,1
Erie,PA,364.8,Zumba,1
Valley Forge,PA,330.28,Insanity,1
Pittsburgh,PA,300.49,Yoga 201,1
Valley Forge,PA,103.95,Zumba,1
Philadelphia,PA,236.24,PiYo,1
Pittsburgh,PA,178.35,Yoga 101,1
Philadelphia,PA,149.5,PiYo,1
Rochester,NY,188.41,Yoga 201,1
New York City,NY,247.81,Yoga 101,1
Brooklyn,NY,276.37,Zumba,1
New York City,NY,101.79,Zumba,1
New York City,NY,454.58,PiYo,1
Rochester,NY,442.77,PiYo,1
Philadelphia,PA,434.8,Yoga 101,1
Pittsburgh,PA,455.79,Insanity,1
Albany,NY,399.53,Insanity,1
New York City,NY,300.67,Insanity,1
New York City,NY,360.89,Spinning,1
Erie,PA,385.57,PiYo,1
New York City,NY,446.45,Yoga 201,1
New York City,NY,357.31,PiYo,1
New York City,NY,411.92,Spinning,1
New York City,NY,462,Spinning,1
Pittsburgh,PA,498.83,Yoga 201,1
Philadelphia,PA,439.23,PiYo,1
Buffalo,NY,264.91,PiYo,1
New York City,NY,498.44,PiYo,1
Staten Island,NY,450.15,Spinning,1
New York City,NY,395.84,Yoga 201,1
Brooklyn,NY,462.96,Spinning,1
Buffalo,NY,345.99,Zumba,1
New York City,NY,408.97,PiYo,1
New York City,NY,206.57,Yoga 101,1
New York City,NY,128.07,PiYo,1
Flushing,NY,382.85,PiYo,1
Erie,PA,229.34,Spinning,1
Pittsburgh,PA,169.11,Yoga 201,1
Scranton,PA,196.36,Zumba,1
New Castle,PA,118.44,Yoga 101,1
Paterson,NJ,183.29,Yoga 201,1
New York City,NY,192.17,Yoga 201,1
Harrisburg,PA,400.57,PiYo,1
Bronx,NY,463.65,Insanity,1
Trenton,NJ,185.99,Yoga 101,1
New York City,NY,270.05,PiYo,1
Jamaica,NY,116.68,PiYo,1
New York City,NY,169.63,Insanity,1
Levittown,PA,111.16,Insanity,1
Jamaica,NY,467.26,Yoga 201,1
Rochester,NY,148.32,PiYo,1
Paterson,NJ,191.79,Spinning,1
Pittsburgh,PA,136.7,Insanity,1
Philadelphia,PA,495.62,Zumba,1
New Hyde Park,NY,448.92,Spinning,1
Philadelphia,PA,367.2,Zumba,1
Philadelphia,PA,111.11,Yoga 201,1
Port Washington,NY,403.1,PiYo,1
New York City,NY,286.21,Zumba,1
New York City,NY,302.9,Yoga 101,1
Pittsburgh,PA,250.53,Insanity,1
Elizabeth,NJ,414.28,Spinning,1
Trenton,NJ,321.75,Zumba,1
Pittsburgh,PA,175.6,PiYo,1
Philadelphia,PA,438.07,Yoga 101,1
Erie,PA,189.14,Yoga 201,1
Erie,PA,390.12,Zumba,1
Jamaica,NY,343.7,Spinning,1
White Plains,NY,308.97,Spinning,1
New Brunswick,NJ,363.96,Zumba,1
Philadelphia,PA,228.26,Yoga 101,1
Paterson,NJ,458.94,Zumba,1
Harrisburg,PA,240.74,PiYo,1
New York City,NY,494.11,Spinning,1
Brooklyn,NY,478.62,PiYo,1
Trenton,NJ,417.14,PiYo,1
Flushing,NY,411.86,PiYo,1
New York City,NY,343.66,PiYo,1
New York City,NY,265.39,Zumba,1
Pittsburgh,PA,353.99,Spinning,1
Harrisburg,PA,489.06,Insanity,1
New York City,NY,142.58,PiYo,1
Bronx,NY,195.48,Insanity,1
Harrisburg,PA,407.17,Yoga 201,1
Camden,NJ,319.44,Yoga 201,1
Philadelphia,PA,210.9,Zumba,1
Pittsburgh,PA,181.37,Insanity,1
Philadelphia,PA,165.87,Insanity,1
New York City,NY,134.74,Zumba,1
Buffalo,NY,400.59,Yoga 101,1
Flushing,NY,187.75,Insanity,1
Scranton,PA,425.05,PiYo,1
White Plains,NY,231.09,Spinning,1
New Hyde Park,NY,497.2,PiYo,1
Pittsburgh,PA,425.75,Insanity,1
Harrisburg,PA,148.42,Zumba,1
New Hyde Park,NY,251.59,Insanity,1
Albany,NY,424.98,Yoga 101,1
Pittsburgh,PA,298.98,Yoga 201,1
Brooklyn,NY,470.59,Yoga 101,1
Philadelphia,PA,145.93,Spinning,1
Great Neck,NY,191.05,Spinning,1
Mc Keesport,PA,426.16,Yoga 101,1
Philadelphia,PA,191.61,PiYo,1
Rochester,NY,167.69,Zumba,1
Rochester,NY,103.09,PiYo,1
Erie,PA,113.55,Spinning,1
Great Neck,NY,215.89,Spinning,1
Pittsburgh,PA,490.45,Zumba,1
Jamaica,NY,142.22,Yoga 201,1
Pittsburgh,PA,114.57,Spinning,1
Brooklyn,NY,483.1,Zumba,1
Pittsburgh,PA,355.59,Spinning,1
Jamaica,NY,374.4,Insanity,1
Pittsburgh,PA,494.91,Spinning,1
Newark,NJ,445.45,PiYo,1
Trenton,NJ,410.06,PiYo,1
Pittsburgh,PA,286.31,Zumba,1
Newark,NJ,230.09,PiYo,1
Pittsburgh,PA,232.48,Spinning,1
Trenton,NJ,222.99,Yoga 201,1
Philadelphia,PA,273.57,PiYo,1
New York City,NY,470.23,Zumba,1
Erie,PA,394.8,PiYo,1
Newark,NJ,132.43,Yoga 101,1
Buffalo,NY,390.53,PiYo,1
Paterson,NJ,432.5,Zumba,1
New York City,NY,177.12,Yoga 101,1
Schenectady,NY,178.56,Yoga 201,1
Pittsburgh,PA,305.75,PiYo,1
Newark,NJ,488.05,Zumba,1
New York City,NY,301.78,PiYo,1
Jamaica,NY,353.19,PiYo,1
Albany,NY,261.96,Yoga 201,1
Erie,PA,260.65,Yoga 101,1
New York City,NY,346.93,Spinning,1
Erie,PA,402.55,Yoga 101,1
Albany,NY,232.18,Zumba,1
Jamaica,NY,342.49,Yoga 201,1
Harrisburg,PA,321.31,Spinning,1
Schenectady,NY,433.94,PiYo,1
New York City,NY,421.21,Yoga 201,1
Trenton,NJ,158.73,Zumba,1
Albany,NY,427.73,Insanity,1
New Castle,PA,323.37,Insanity,1
Philadelphia,PA,234.55,Yoga 201,1
Buffalo,NY,472.04,Zumba,1
Pittsburgh,PA,360.61,PiYo,1
Rochester,NY,191.32,PiYo,1
Brooklyn,NY,463.34,PiYo,1
New Castle,PA,250.18,Insanity,1
Bronx,NY,450.19,PiYo,1
New York City,NY,237.02,Zumba,1
Trenton,NJ,492.85,Insanity,1
Brooklyn,NY,482.38,Yoga 201,1
Philadelphia,PA,248.18,Insanity,1
Albany,NY,393.86,Spinning,1
Jersey City,NJ,298,Zumba,1
Pittsburgh,PA,123.57,Zumba,1
Trenton,NJ,112.51,Insanity,1
Elmira,NY,244.25,Zumba,1
Philadelphia,PA,139.35,Insanity,1
Philadelphia,PA,444.25,PiYo,1
Bronx,NY,285.33,Zumba,1
Syracuse,NY,204.69,Yoga 101,1
Albany,NY,268.13,Yoga 101,1
Brooklyn,NY,391.2,Yoga 201,1
Scranton,PA,420.66,Yoga 201,1
Brooklyn,NY,105.5,Zumba,1
New York City,NY,303.21,Yoga 201,1
Schenectady,NY,130.3,Zumba,1
Brooklyn,NY,206.94,Insanity,1
Jamaica,NY,331.33,Insanity,1
Rochester,NY,279.8,Zumba,1
Jersey City,NJ,174.5,PiYo,1
Paterson,NJ,369.37,Zumba,1
Philadelphia,PA,115.59,Yoga 101,1
Pittsburgh,PA,191.73,PiYo,1
New York City,NY,488.17,Zumba,1
Flushing,NY,235.55,Yoga 101,1
Pittsburgh,PA,360.81,Yoga 101,1
New York City,NY,316.83,Spinning,1
New York City,NY,437.04,Zumba,1
Bronx,NY,343.66,Spinning,1
Utica,NY,194.37,Spinning,1
New York City,NY,173.64,Yoga 101,1
Brooklyn,NY,313.21,PiYo,1
Rochester,NY,182.78,Yoga 101,1
Newark,NJ,370.37,PiYo,1
Albany,NY,383.91,Zumba,1
Pittsburgh,PA,306.71,Yoga 201,1
New York City,NY,465.38,Insanity,1
Brooklyn,NY,292.35,Spinning,1
Scranton,PA,256.18,Yoga 201,1
Hicksville,NY,121.1,Zumba,1
Bronx,NY,440.04,Zumba,1
Brooklyn,NY,481.9,PiYo,1
Staten Island,NY,309.58,PiYo,1
New York City,NY,198.31,Insanity,1
Rochester,NY,365.35,PiYo,1
Philadelphia,PA,144.49,Insanity,1
Brooklyn,NY,398.96,Insanity,1
Pittsburgh,PA,325.11,PiYo,1
Brooklyn,NY,474.04,Zumba,1
Erie,PA,311.68,Yoga 101,1
Philadelphia,PA,368.03,Spinning,1
Rochester,NY,499.59,PiYo,1
New York City,NY,120.47,Zumba,1
Philadelphia,PA,360.75,Zumba,1
Brooklyn,NY,318.12,Spinning,1
Erie,PA,165.96,Insanity,1
Rochester,NY,286.5,Insanity,1
Syracuse,NY,112.8,Spinning,1
Buffalo,NY,308.72,Insanity,1
New Castle,PA,201.35,Yoga 201,1
Jamaica,NY,252.14,Insanity,1
Wilkes Barre,PA,475.41,Spinning,1
Lancaster,PA,318.65,Spinning,1
New York City,NY,468.81,PiYo,1
Utica,NY,404.3,Yoga 201,1
Great Neck,NY,438.73,Yoga 101,1
New York City,NY,189.86,Zumba,1
Harrisburg,PA,137.28,Yoga 201,1
Utica,NY,272.16,Insanity,1
Philadelphia,PA,367.65,Spinning,1
New York City,NY,228.82,Zumba,1
Reading,PA,161.52,Zumba,1
New York City,NY,196.47,Yoga 201,1
New York City,NY,372.71,PiYo,1
Brooklyn,NY,156.85,Insanity,1
New York City,NY,238.6,Spinning,1
New York City,NY,181.74,Yoga 101,1
Elizabeth,NJ,323.1,Spinning,1
New York City,NY,250.62,Spinning,1
New York City,NY,299.37,Spinning,1
Jamaica,NY,352.43,PiYo,1
Mc Keesport,PA,218.32,Yoga 101,1
Philadelphia,PA,274.44,Zumba,1
Buffalo,NY,450.57,Yoga 201,1
Brooklyn,NY,299.58,Yoga 201,1
New York City,NY,141.13,Yoga 201,1
New York City,NY,145.91,Yoga 201,1
Buffalo,NY,360.84,Yoga 101,1
Philadelphia,PA,464.83,Insanity,1
Philadelphia,PA,393.8,Insanity,1
Philadelphia,PA,102.18,PiYo,1
Rochester,NY,315.92,Zumba,1
New York City,NY,305.57,Insanity,1
Erie,PA,360.27,Spinning,1
Brooklyn,NY,496.51,Yoga 201,1
York,PA,355.81,Insanity,1
New York City,NY,397.91,Insanity,1
Schenectady,NY,241.02,PiYo,1
Lancaster,PA,198.8,PiYo,1
New York City,NY,131.65,Yoga 101,1
Erie,PA,275.85,Insanity,1
Albany,NY,203.62,Insanity,1
Great Neck,NY,311.1,Yoga 101,1
Reading,PA,390.77,Spinning,1
Pittsburgh,PA,476.58,Insanity,1
Johnstown,PA,112.53,PiYo,1
Pittsburgh,PA,139.67,Spinning,1
Philadelphia,PA,121.26,Yoga 101,1
New York City,NY,123.34,Zumba,1
Buffalo,NY,334.44,Insanity,1
Pittsburgh,PA,458.78,Spinning,1
Albany,NY,267.4,Spinning,1
New York City,NY,392.04,Spinning,1
New York City,NY,372.03,Yoga 101,1
Brooklyn,NY,261.61,PiYo,1
Albany,NY,103.99,Spinning,1
Philadelphia,PA,294.15,Spinning,1
Harrisburg,PA,127.17,Yoga 201,1
Syracuse,NY,193.35,Yoga 101,1
Rochester,NY,461.34,Zumba,1
Brooklyn,NY,412.96,PiYo,1
Staten Island,NY,155.41,Insanity,1
Philadelphia,PA,120.3,Insanity,1
Albany,NY,212.42,Insanity,1
Philadelphia,PA,481.39,Yoga 201,1
New York City,NY,240.71,Spinning,1
Staten Island,NY,242.67,Spinning,1
Jamaica,NY,103.72,Insanity,1
Johnstown,PA,423.3,Spinning,1
Albany,NY,210.89,Yoga 101,1
New York City,NY,490.03,Spinning,1
Albany,NY,227.04,Yoga 201,1
New York City,NY,466.24,Spinning,1
Buffalo,NY,488.29,Insanity,1
Johnstown,PA,374.41,Yoga 101,1
New York City,NY,155.99,Insanity,1
Syracuse,NY,126.91,Yoga 201,1
Trenton,NJ,325.46,PiYo,1
New Castle,PA,209.35,Zumba,1
Philadelphia,PA,349.54,Yoga 101,1
Albany,NY,356.72,Zumba,1
New York City,NY,160.53,Yoga 101,1
Pittsburgh,PA,124.58,PiYo,1
Philadelphia,PA,222.35,Insanity,1
Harrisburg,PA,339.88,Spinning,1
New York City,NY,297.77,PiYo,1
Rochester,NY,200.28,PiYo,1
Brooklyn,NY,398.43,Zumba,1
Pittsburgh,PA,206.34,Yoga 201,1
New York City,NY,453.86,PiYo,1
Pittsburgh,PA,368.1,Yoga 101,1
Albany,NY,139.85,Insanity,1
Paterson,NJ,375.44,PiYo,1
Rochester,NY,394.86,Insanity,1
New York City,NY,400.62,Zumba,1
New York City,NY,415.18,Yoga 101,1
Erie,PA,211.08,Insanity,1
Pittsburgh,PA,239.06,Spinning,1
Albany,NY,216.42,Yoga 201,1
Trenton,NJ,120.61,Yoga 101,1
Great Neck,NY,169.24,Spinning,1
Harrisburg,PA,210.67,Spinning,1
Albany,NY,432.4,PiYo,1
Mc Keesport,PA,293.84,Yoga 101,1
Jamaica,NY,149.88,Spinning,1
Reading,PA,170.56,Spinning,1
Rochester,NY,431.37,Yoga 201,1
Elizabeth,NJ,191.96,PiYo,1
Great Neck,NY,467.13,Zumba,1
Pittsburgh,PA,453.69,PiYo,1
Buffalo,NY,196.82,Spinning,1
Brooklyn,NY,368.85,Yoga 201,1
Mount Vernon,NY,494.53,Spinning,1
Buffalo,NY,194.47,Yoga 101,1
Albany,NY,198.73,Zumba,1
Erie,PA,441.08,PiYo,1
Jersey City,NJ,271.25,Zumba,1
Brooklyn,NY,180.19,Yoga 101,1
Wilkes Barre,PA,272.77,Yoga 201,1
New York City,NY,231.1,PiYo,1
Brooklyn,NY,294.7,PiYo,1
Buffalo,NY,494.23,Spinning,1
Paterson,NJ,189.1,PiYo,1
Philadelphia,PA,144.76,Yoga 101,1
Brooklyn,NY,236.29,Insanity,1
Bronx,NY,239.91,Spinning,1
Philadelphia,PA,399.01,PiYo,1
Rochester,NY,468.99,Spinning,1
Pittsburgh,PA,235.6,Insanity,1
New York City,NY,309.98,Spinning,1
Erie,PA,392.77,Spinning,1
Erie,PA,114.7,PiYo,1
Scranton,PA,146.45,Yoga 101,1
Albany,NY,203.16,Yoga 201,1
New York City,NY,466.09,Yoga 101,1
Erie,PA,307.24,Yoga 101,1
Lancaster,PA,248.34,Yoga 201,1
Elizabeth,NJ,307.07,Spinning,1
Lancaster,PA,284.27,Yoga 201,1
Erie,PA,484.73,Yoga 201,1
Jersey City,NJ,263.04,Yoga 101,1
Wilkes Barre,PA,302.78,Zumba,1
New York City,NY,136.43,Zumba,1
Jamaica,NY,119.05,Yoga 201,1
Wilkes Barre,PA,161.22,Spinning,1
Rochester,NY,444.89,Spinning,1
Pittsburgh,PA,241.07,Spinning,1
New York City,NY,192.43,Zumba,1
Albany,NY,261.69,Yoga 101,1
White Plains,NY,127.89,Yoga 101,1
Albany,NY,464.36,PiYo,1
New York City,NY,120.61,Insanity,1
New York City,NY,228.21,Yoga 201,1
Philadelphia,PA,182.11,Yoga 201,1
Philadelphia,PA,259.44,PiYo,1
New York City,NY,118.48,Zumba,1
Levittown,PA,251.63,Yoga 101,1
Buffalo,NY,181.6,Insanity,1
Yonkers,NY,347.67,Yoga 201,1
Brooklyn,NY,119.07,PiYo,1
Philadelphia,PA,130.9,Yoga 101,1
Buffalo,NY,216.19,Zumba,1
Schenectady,NY,307.46,Yoga 101,1
Bethlehem,PA,472.5,PiYo,1
Schenectady,NY,166.79,Zumba,1
Harrisburg,PA,282.53,PiYo,1
Rochester,NY,408,Zumba,1
New York City,NY,124.74,Yoga 101,1
Syracuse,NY,374.66,Yoga 201,1
Elizabeth,NJ,485.56,Yoga 101,1
Albany,NY,298.36,Zumba,1
New York City,NY,449.38,Yoga 101,1
Brooklyn,NY,373.13,Zumba,1
New York City,NY,342.37,Yoga 201,1
Albany,NY,215.73,Spinning,1
Albany,NY,153.49,Yoga 201,1
Pittsburgh,PA,485.05,Zumba,1
Brooklyn,NY,248.01,Yoga 201,1
Brooklyn,NY,281.61,Zumba,1
Rochester,NY,117.56,Insanity,1
Schenectady,NY,455.46,PiYo,1
Pittsburgh,PA,478.47,Insanity,1
Philadelphia,PA,302.52,PiYo,1
Buffalo,NY,400.03,Yoga 101,1
Paterson,NJ,381.23,Yoga 101,1
Philadelphia,PA,392.5,Zumba,1
Trenton,NJ,360.79,Insanity,1
Erie,PA,201.17,Zumba,1
Buffalo,NY,163.39,Insanity,1
Staten Island,NY,220.04,Spinning,1
Albany,NY,480.1,PiYo,1
Rochester,NY,201.76,Insanity,1
Albany,NY,336.14,Yoga 101,1
Philadelphia,PA,124.67,Zumba,1
New York City,NY,492.37,Spinning,1
Allentown,PA,252.37,Yoga 101,1
Pittsburgh,PA,438.59,Zumba,1
New York City,NY,351.84,Yoga 101,1
Lancaster,PA,462.29,Yoga 201,1
Albany,NY,166.71,Spinning,1
Pittsburgh,PA,373.91,Insanity,1
New Brunswick,NJ,420.07,PiYo,1
Harrisburg,PA,257.46,Yoga 201,1
Erie,PA,282.58,Zumba,1
Wilkes Barre,PA,252.31,Yoga 101,1
New York City,NY,246.94,Zumba,1
Harrisburg,PA,238.81,Zumba,1
Albany,NY,244.27,PiYo,1
Jersey City,NJ,385.14,Insanity,1
New York City,NY,489.76,PiYo,1
Brooklyn,NY,270.58,Insanity,1
Harrisburg,PA,491.02,PiYo,1
Trenton,NJ,267.13,Zumba,1
New York City,NY,417.9,Yoga 101,1
Erie,PA,483.1,Insanity,1
New York City,NY,262.34,Yoga 201,1
New York City,NY,100.26,Insanity,1
Syracuse,NY,499.42,Zumba,1
Levittown,PA,242.5,Zumba,1
Newark,NJ,475.58,Insanity,1
Syracuse,NY,235.22,Yoga 101,1
Jamaica,NY,297.22,PiYo,1
Bronx,NY,218.33,Zumba,1
Buffalo,NY,409.87,PiYo,1
New York City,NY,368.11,Yoga 101,1
New Hyde Park,NY,181,Yoga 101,1
Wilkes Barre,PA,324.91,Yoga 201,1
New York City,NY,478.42,Yoga 201,1
Brooklyn,NY,411.21,Yoga 101,1
Harrisburg,PA,322.83,Zumba,1
Pittsburgh,PA,379.66,Zumba,1
Erie,PA,427.49,Yoga 101,1
Erie,PA,282.12,Spinning,1
Newark,NJ,329.93,Yoga 101,1
Levittown,PA,464.32,PiYo,1
Bronx,NY,221.17,Insanity,1
New York City,NY,466.04,Yoga 101,1
Trenton,NJ,368.16,Spinning,1
Pittsburgh,PA,345.93,Spinning,1
Albany,NY,435.88,Yoga 201,1
Newark,NJ,493.9,Insanity,1
New York City,NY,217.67,Yoga 101,1
Pittsburgh,PA,411.54,Insanity,1
Trenton,NJ,291.6,PiYo,1
Rochester,NY,285.18,PiYo,1
Trenton,NJ,416.54,Spinning,1
White Plains,NY,476.99,PiYo,1
New York City,NY,374.87,Insanity,1
Albany,NY,283.41,Zumba,1
New York City,NY,394.06,Insanity,1
New York City,NY,321.57,Insanity,1
Philadelphia,PA,311.36,Spinning,1
Pittsburgh,PA,316.48,Yoga 101,1
Pittsburgh,PA,358.28,PiYo,1
Philadelphia,PA,490.64,Zumba,1
Pittsburgh,PA,436.33,Yoga 201,1
Jamaica,NY,301.85,Insanity,1
Syracuse,NY,497.84,Yoga 201,1
Bronx,NY,191.42,PiYo,1
Brooklyn,NY,447.62,PiYo,1
Philadelphia,PA,270.79,Yoga 101,1
Erie,PA,444.32,Insanity,1
Bronx,NY,442.91,Zumba,1
Yonkers,NY,394.09,PiYo,1
Utica,NY,496.24,Spinning,1
Philadelphia,PA,487.77,Insanity,1
Rochester,NY,442.75,Zumba,1
Rochester,NY,302.02,Yoga 201,1
Bronx,NY,429.76,Yoga 201,1
Philadelphia,PA,210.54,Yoga 201,1
Buffalo,NY,496.19,Spinning,1
Brooklyn,NY,102.59,Spinning,1
New York City,NY,182.92,Spinning,1
Brooklyn,NY,137.6,PiYo,1
New York City,NY,428.12,Insanity,1
Newark,NJ,218.45,Spinning,1
Philadelphia,PA,178.5,Insanity,1
Philadelphia,PA,126.76,Yoga 101,1
Jersey City,NJ,133.88,Zumba,1
New York City,NY,172.45,Yoga 201,1
Philadelphia,PA,112.69,Spinning,1
Elizabeth,NJ,499.77,Zumba,1
Mount Vernon,NY,241.97,Zumba,1
Philadelphia,PA,394.02,Zumba,1
New York City,NY,221.41,Yoga 101,1
Rochester,NY,258.57,PiYo,1
Erie,PA,289.61,Zumba,1
Mount Vernon,NY,298.03,Yoga 201,1
Newark,NJ,370.05,Yoga 201,1
Mc Keesport,PA,433.93,Spinning,1
Brooklyn,NY,301.78,PiYo,1
Mc Keesport,PA,103.35,Spinning,1
New York City,NY,294.04,Yoga 201,1
Philadelphia,PA,244.03,Yoga 201,1
Camden,NJ,445.68,Insanity,1
Rochester,NY,444.49,Spinning,1
Albany,NY,411.18,Zumba,1
New York City,NY,234.97,Zumba,1
Philadelphia,PA,347.37,Zumba,1
Johnstown,PA,460.18,Yoga 201,1
Pittsburgh,PA,474.13,Spinning,1
New Brunswick,NJ,128.18,Insanity,1
Syracuse,NY,457.73,Zumba,1
Erie,PA,163.76,Yoga 101,1
White Plains,NY,170.13,Insanity,1
Lancaster,PA,403.04,Spinning,1
New York City,NY,192.63,Spinning,1
New York City,NY,327.88,Yoga 101,1
Johnstown,PA,159.37,Zumba,1
Brooklyn,NY,491.79,PiYo,1
Rochester,NY,298.42,PiYo,1
Newark,NJ,147.59,Spinning,1
Brooklyn,NY,184.46,Spinning,1
Harrisburg,PA,121.8,Zumba,1
Reading,PA,134.52,Insanity,1
Philadelphia,PA,240.77,PiYo,1
Philadelphia,PA,206.65,Insanity,1
Albany,NY,256.68,Spinning,1
Trenton,NJ,473.9,Zumba,1
Albany,NY,228.72,Insanity,1
Harrisburg,PA,491.55,Spinning,1
New York City,NY,407.8,Zumba,1
Harrisburg,PA,126.54,PiYo,1
Reading,PA,168.53,PiYo,1
Pittsburgh,PA,116.63,Zumba,1
Buffalo,NY,130.17,Spinning,1
New York City,NY,359.62,Yoga 201,1
New York City,NY,430.87,Yoga 201,1
Buffalo,NY,208.32,Insanity,1
Newark,NJ,247.92,Yoga 101,1
Bethlehem,PA,194.51,PiYo,1
Rochester,NY,113.48,Insanity,1
Reading,PA,480.39,Yoga 201,1
Pittsburgh,PA,456.85,Spinning,1
New York City,NY,281.36,Yoga 201,1
Trenton,NJ,167.75,Zumba,1
New York City,NY,105.82,Yoga 201,1
Trenton,NJ,362.58,Insanity,1
New York City,NY,330.41,PiYo,1
Paterson,NJ,363.59,Zumba,1
Brooklyn,NY,223.15,Yoga 101,1
Paterson,NJ,235.97,Zumba,1
Pittsburgh,PA,434.08,PiYo,1
Reading,PA,339.13,Insanity,1
New York City,NY,276.66,Yoga 101,1
New Hyde Park,NY,265.52,Yoga 201,1
Jamaica,NY,148.94,Zumba,1
New York City,NY,483.33,Insanity,1
Philadelphia,PA,249.71,Spinning,1
Albany,NY,298.3,Yoga 201,1
Brooklyn,NY,264.18,Zumba,1
Philadelphia,PA,149.32,PiYo,1
